Business Center,Venue,Venue Category,Venue Id,Venue Latitude,Venue Likes,Venue Longitude,Venue Ratings
Grenoble Europole,sushi me,Japanese ,4b7935b8f964a5202aef2ee3,45.18584493653469,,5.718726390160986,
Grenoble Europole,Hippopotamus Steakhouse,BBQ ,5d41b47845a63e00089bd652,45.190880974986065,,5.727111385250055,
Grenoble Europole,Hippopotamus,BBQ ,51cf41a0498e3b445de78b96,45.19084194397088,,5.727400867117527,
Grenoble Europole,O'Bagel,Bagel ,529767f4498eee0bb8ee37c6,45.18939208984375,,5.720839023590088,
Grenoble Europole,California Bagel,Bagel ,526111a7498e183063ef097c,45.19067931703264,,5.726668125135312,
Grenoble Europole,Brioche Dorée,Bakery,51f619da498e688522a895a8,45.19123940167128,,5.714687705039978,
Grenoble Europole,La Fournée,Bakery,4f8849a0e4b039b1440447d3,45.18862429161135,,5.712611072216134,
Grenoble Europole,La Talemelerie,Bakery,4e2e99a8d4c058fdbeeab0dc,45.18564764358638,,5.722585104040033,
Grenoble Europole,Boulangerie Du Pain Sur La Planche,Bakery,512256fbe4b061129fd4cc82,45.187913,,5.72286,
Grenoble Europole,Banette,Bakery,4f3df825e4b0e4bab94fb6e5,45.18861932518268,,5.715185624154144,
Grenoble Europole,"Boulangerie, Pâtisserie J.M Coste",Bakery,4e54cb2b81dc776fa5e1647d,45.190052301482154,,5.7161736488342285,
Grenoble Europole,Pain & Friandises,Bakery,4eae9cdc775bad292fe443e1,45.187657,,5.719602,
Grenoble Europole,Maison Floran,Bakery,5b90d1661a29250025fdc343,45.18808,,5.723998,
Grenoble Europole,Chocolatier Ferrazi,Bakery,4bd57d4acfa7b713ddcf25da,45.18230907885204,,5.716806650161742,
Grenoble Europole,Maison Manival,Bakery,58e628a1a4367c4a450aa7cf,45.18316,,5.7171035,
Grenoble Europole,Le Fournil Jean Jaurès,Bakery,5a6ae1e91108ba3837a969c2,45.186386,,5.718248,
Grenoble Europole,Boulangerie Campaillette,Bakery,4c9ccc8b8afca093b584f015,45.194269,,5.718379,
Grenoble Europole,Louis Boulangerie pâtisserie,Bakery,4f0837efe4b0ad9c24f46cab,45.19109892459587,,5.720163487428484,
Grenoble Europole,Chardon Bleu,Bakery,4cb30a28db32f04dd31fd44d,45.18937645282082,,5.720825085027447,
Grenoble Europole,Boulangerie Pâtisserie Jacquier,Bakery,570a1ba9498e9e882e2bb003,45.191406,,5.7199073,
Grenoble Europole,La Fabrique SG Gourmands,Bakery,560fa40e498e7652737d4a21,45.1898305143439,,5.717580310026277,
Grenoble Europole,Maison Lenoir Boulangerie,Bakery,505c373fe4b0c8fbe5229cb2,45.187995,,5.7060379999999995,
Grenoble Europole,Boulangerie De L'Aigle,Bakery,4f48b8c3e4b0e445061a37bc,45.18247919815031,,5.718445184736463,
Grenoble Europole,Patisserie Gilles Sarrazin,Bakery,4fbe1549e4b057d1bd996285,45.18849418832826,,5.724672903030579,
Grenoble Europole,La Grange A Pain,Bakery,4e7048e652b140871b2b87fe,45.18596909268941,,5.716077089309692,
Grenoble Europole,L'epicea,Bakery,4d53b02208a7b1f7d1d03492,45.186083059940366,,5.716686992594734,
Grenoble Europole,La Panière Grenobloise,Bakery,4f99633dc2eedb758e5f52f3,45.1910050080543,,5.725228786468506,
Grenoble Europole,Le Palais De Saveurs,Bakery,57fe0f17498ed820f1a7a763,45.186405,,5.7182245,
Grenoble Europole,David Patissier,Bakery,4ffbbafbe4b02c0240324bd8,45.188393,,5.713744,
Grenoble Europole,Boulangerie Sésame,Bakery,55f45189498e4aa9feae2697,45.18818464788214,,5.715012252330779,
Grenoble Europole,Boulangerie Chez Denis,Bakery,50c2f9b8e4b0e9bc06bab555,45.185878,,5.7176919999999996,
Grenoble Europole,L'arret Gourmand,Bakery,4e5b71b2a8098920b3d78bd4,45.190044805991064,,5.715403642494841,
Grenoble Europole,La Huchette,Bakery,4dc17cf2ae60533f34f3109e,45.186399,,5.7183720000000005,
Grenoble Europole,La Cuisine Du Bico Loco Aux Milles Beurettes,Bakery,52d0688a498e8cdf65b24dfb,45.20038604736328,,5.711685180664063,
Grenoble Europole,The Cake Shop,Bakery,4b9fe331f964a520b74737e3,45.18824587584311,,5.721746376337532,
Grenoble Europole,La Boulangerie du Croissant de Lune,Bakery,4cea77190f196dcbdee951ae,45.18313097190653,,5.716701843729846,
Grenoble Europole,La Tamelerie,Bakery,4e4cac78d22d10a6c5ced0b8,45.18504181080503,,5.7057103369078845,
Grenoble Europole,Boulangerie Rue De Belgique,Bakery,4da95a5b5da3ba8a476f2d8c,45.190117,,5.7240720000000005,
Grenoble Europole,Le Florentin,Bakery,4bc82e668b7c9c743cb237cf,45.18849982536728,,5.710514306250255,
Grenoble Europole,à l'envers - bistrot boutique événements,Bistro,5b7d6245bfc6d0003984ef26,45.1898171468621,,5.712974846346698,
Grenoble Europole,cafe du marais,Bistro,5616423f498e95b3957a21cd,45.191583,,5.725263,
Grenoble Europole,Le Jet 7,Bistro,53765982498e435477a33f63,45.18431945531977,,5.705514475706242,
Grenoble Europole,L'Ynsolence,Bistro,53983f7b498e05d90ed80a56,45.189746,,5.718077,
Grenoble Europole,Le Café Curieux,Bistro,4c3f5c09cc410f47860ea861,45.18679231528469,,5.723978196261299,
Grenoble Europole,La Bon Heure,Breakfast Spot,5184c591498e8f5df613d7e4,45.190109,,5.716068,
Grenoble Europole,Fournil st nicolas,Breakfast Spot,4b9faa7bf964a5200f3337e3,45.18975061355667,,5.72579558924883,
Grenoble Europole,Le Coq Hardi,Breakfast Spot,4b8fd85bf964a520326533e3,45.190576558747566,,5.725147785401607,
Grenoble Europole,Fast n'Good,Burger ,57cf1836cd107656c0da2da6,45.186554,,5.718239,
Grenoble Europole,231 East St,Burger ,58b9d865c30f797a72df081d,45.187459999999994,,5.7234115999999995,
Grenoble Europole,Burger King Grenoble Victor Hugo,Burger ,58765b52f229952ac19cc75d,45.189676588102806,,5.724462273033737,
Grenoble Europole,Les Burger De Papa,Burger ,5cfbc5929cadd9002c230d87,45.188835,,5.723868,
Grenoble Europole,Burger Fernand,Burger ,539832cc498ee08ed9e03f8d,45.18856430053711,,5.710316181182861,
Grenoble Europole,Five burger,Burger ,5d45646e046acf0008a249dd,45.190098,,5.725875,
Grenoble Europole,Yes Burger,Burger ,591213ef872f7d1527824c26,45.18345,,5.717261,
Grenoble Europole,Restaurant H3,Cafeteria,59957244e679bc5f683481a4,45.195962,,5.704486,
Grenoble Europole,Hermès,Café,4d5bfa369895b1f76f45e00f,45.190134,,5.715607,
Grenoble Europole,Tower Coffee,,58dd18332b04f862ef9f62a2,45.1881901,,5.72679318,
Grenoble Europole,Café le Provence,Café,4bb2e8142397b713af9a37b3,45.186265,,5.716895,
Grenoble Europole,Le Millesime,Café,51794b1ee4b0cca38cb36868,45.18899173475932,,5.725149422806307,
Grenoble Europole,Café Tempo,Café,4c2c78ea8abca59351b20120,45.1905795270368,,5.71288669368151,
Grenoble Europole,Columbus Café & Co,Café,5e04e282e71f5c0008cc7852,45.18909,,5.7219133,
Grenoble Europole,Café Vélo,Café,535271b111d22102144f7147,45.18458,,5.709644,
Grenoble Europole,Café Jules Verne,Café,4cadd4950c1e6dcbfcba78bf,45.19143782,,5.726466,
Grenoble Europole,Hono Coffee House,Café,5e0f54832b12f500089506b7,45.187737,,5.7224703,
Grenoble Europole,Cafe Leffe,Café,5208e1c611d252a89443d623,45.19081971753824,,5.727398695841492,
Grenoble Europole,Brasserie La City,Brewery,4dd50215ae60a78cec62b921,45.18861830234528,,5.712870495165745,
Grenoble Europole,Brown's,Café,536a2bb9498e2d75d9d1e9ca,45.19200297284849,,5.7272491815307225,
Grenoble Europole,Harper's café,Café,557ff2c7498e003d10386919,45.18553367488409,,5.725148568785452,
Grenoble Europole,Café L'Albatros,Café,4e298294fa762797e5a804fa,45.183948525489825,,5.716967648160692,
Grenoble Europole,CoqTail,Café,4e29a55f483baa8651621cab,45.182965840213,,5.7188987731933585,
Grenoble Europole,L'etage,Café,4c3dafb9a97bbe9a4621fcdd,45.19180827530137,,5.7268616904462695,
Grenoble Europole,Le Détour,Café,4d96043ea2c65481e44fb553,45.18536401776201,,5.722247679219534,
Grenoble Europole,Café Des Délices,Café,5a520303851de5040bd872ae,45.18732,,5.71472,
Grenoble Europole,Le Capri,Café,536cde9a498e8eca7ba52d0d,45.187412515268065,,5.7145559062439215,
Grenoble Europole,Sporting,Café,514b0b2ee4b01a82e247a797,45.190774,,5.727059,
Grenoble Europole,Simply Delicious,Café,5ab913841acf1156f1760d60,45.189136,,5.726823,
Grenoble Europole,Starbucks Coffee,Café,5a60a40b6bdee64056ea8819,45.19148,,5.7144900000000005,
Grenoble Europole,gastronomies Cambodia and thai,Café,56e1805ecd10c84f46ec2263,45.190484999999995,,5.71263,
Grenoble Europole,Café Hugo,Café,50585620e4b0d6991b8330cf,45.18896557168932,,5.724194849156728,
Grenoble Europole,Haagen-Dazs,Ice Cream ,4baf448ef964a52083f43be3,45.19109113444244,,5.727306294944924,
Grenoble Europole,Europole Café,Café,4bfea51bca1920a11297eb81,45.190812251739644,,5.711548349097182,
Grenoble Europole,Le Vixen,Café,4d9f7da1affda35dc8a5a548,45.188295000000004,,5.708471,
Grenoble Europole,Le Select,Café,4d6bd1ced47bb60c2455a3aa,45.190807,,5.718388,
Grenoble Europole,Caffe Trevi,Café,4e589f9d1f6e804280ba4d8f,45.18914873900727,,5.722307756739122,
Grenoble Europole,Cafe Mari,Café,4c5349d7a724e21e793b80f4,45.182376,,5.710546,
Grenoble Europole,Le Jardin,French ,4d9d96647509b1f70da543a0,45.18936864429733,,5.726941675568867,
Grenoble Europole,Big Mama,Cajun / Creole ,56e46635498e8a4e8b6a4735,45.18694728786935,,5.7208257871127595,
Grenoble Europole,Le Point A Pitre,Caribbean ,4d9224477379b60c0e0cdc07,45.195516999999995,,5.722242,
Grenoble Europole,Starbucks,Coffee ,5891905d00841a380193f1b5,45.19107871982726,,5.713755206394234,
Grenoble Europole,Café Raymond Torrefacteur,Coffee ,58c550c5b21014507b8c4538,45.182672065941894,,5.717377960681915,
Grenoble Europole,French Coffee Shop,Coffee ,4e2ef0276284021061ec58b1,45.18539865093194,,5.722494472297429,
Grenoble Europole,KARACTERES,Coffee ,51e57597498e2b40013f62f4,45.19162371700941,,5.727137358329069,
Grenoble Europole,Le Bistrot,Coffee ,51e96594498e8bada7785d5a,45.190878000000005,,5.725084,
Grenoble Europole,La Brûlerie Des Alpes,Coffee ,59044c5812c8f05bcaeb6fdb,45.182635999999995,,5.7175136,
Grenoble Europole,Starbucks Coffee,Café,5a60a40b6bdee64056ea8819,45.19148,,5.7144900000000005,
Grenoble Europole,Cafes Folliet Grenoble,Coffee ,54cfb8ee498e79a012d293ac,45.189877,,5.7172480000000006,
Grenoble Europole,L'Absynthe,Coffee ,5299f3e511d2662aca41cb48,45.18915556286272,,5.7260899928416285,
